,company,chi,p,sub_ids
157,MOMO INC.,10.8898528867903,0.20801873995835277,0001193125-21-132517
344,"RETO ECO-SOLUTIONS, INC.",10.895742320227447,0.207676855265078,0001213900-21-026496
295,NORTH AMERICAN NICKEL INC.,10.904361062913695,0.20717734750751146,0001493152-21-010153
300,ENEL AMERICAS S.A.,10.949709488052328,0.2045650453665574,0001558370-21-005380
257,GRUPO SUPERVIELLE S.A.,10.967172037452139,0.2035662243417764,0001104659-21-059154
90,CHIPMOS TECHNOLOGIES INC,11.168512316440207,0.19233266470892846,0001193125-21-121875
320,PATAGONIA GOLD CORP.,11.174326711682887,0.1920159155333928,0001721716-21-000014
133,BANCOLOMBIA SA,11.201943326781937,0.19051726604116784,0001558370-21-004672
55,BLUE HAT INTERACTIVE ENTERTAINMENT TECHNOLOGY,11.242584901510082,0.18832921238768074,0001731122-21-000582
214,AMERICA MOVIL SAB DE CV_,11.248127431124692,0.1880324161532642,0001193125-21-137773
308,BORR DRILLING LTD,11.30555682764234,0.1849796592269558,0001628280-21-008274
339,WNS (HOLDINGS) LTD,11.306520217440054,0.1849287979661567,0001193125-21-161742
331,EURO TECH HOLDINGS CO LTD,11.420070397909956,0.17901415104713878,0001654954-21-005621
235,GIGAMEDIA LTD,11.433173714951208,0.17834178735091577,0001564590-21-021558
129,"MMTEC, INC.",11.481713920583907,0.17586925081150376,0001213900-21-022734
104,ICLICK INTERACTIVE ASIA GROUP LTD,11.596303069421754,0.17014495306422922,0001564590-21-019850
249,PINDUODUO INC.,11.687032118192178,0.16572344767537273,0001104659-21-058237
236,"GRAVITY CO., LTD.",11.727160333427053,0.16379874511669715,0001564590-21-021574
399,HUALE ACOUSTICS LTD,11.755982347172278,0.16242791858331984,0001493152-21-015367
374,NAKED BRAND GROUP LTD,11.763427916688787,0.16207536226608105,0001493152-21-012133
30,WEIDAI LTD.,11.802318091540203,0.16024429226845488,0001104659-21-048044
387,TOWER ONE WIRELESS CORP.,11.81703832739688,0.1595557686522743,0001062993-21-005817
62,BANCO BBVA ARGENTINA S.A.,11.81983829030378,0.15942508536300068,0001193125-21-117722
400,GLOBAL BLUE GROUP HOLDING AG,11.838537611440994,0.15855463476886963,0001628280-21-013006
307,SEADRILL PARTNERS LLC,11.945847524438152,0.15363643718807132,0001628280-21-008251
318,SOS LTD,11.96993120262489,0.1525505294610888,0001213900-21-024630
391,HONDA MOTOR CO LTD,12.127103413886802,0.14562230448939328,0001193125-21-196757
2,ARCO PLATFORM LTD.,12.237864777712975,0.14090230863244893,0001104659-21-045018
86,APTORUM GROUP LTD,12.33389379622208,0.1369165334144682,0001213900-21-021984
44,SPHERE 3D CORP,12.416772487128224,0.13355468048357277,0001591956-21-000010
254,BUENAVENTURA MINING CO INC,12.437492696584897,0.13272536739846338,0001104659-21-059081
285,MIDATECH PHARMA PLC,12.512330195639498,0.12976685960812678,0001214659-21-004730
166,INNATE PHARMA SA,12.559806212231202,0.12791964885029372,0001628280-21-007629
330,BIONDVAX PHARMACEUTICALS LTD.,12.588998770247292,0.12679512946878438,0001213900-21-026146
19,KE HOLDINGS INC.,12.589120286082862,0.1267904665058507,0001104659-21-046841
238,ASIA PACIFIC WIRE & CABLE CORP LTD,12.601726789410575,0.12630751846338348,0001564590-21-021602
327,SILICON MOTION TECHNOLOGY CORP,12.72676994063301,0.12160278919351526,0001193125-21-159231
332,CANADA GOOSE HOLDINGS INC.,12.727338512863772,0.1215817488229264,0001690511-21-000018
268,DOUYU INTERNATIONAL HOLDINGS LTD,12.752102263465467,0.12066841337075802,0001193125-21-142788
1,KELSO TECHNOLOGIES INC,12.818617444605671,0.11824466815685884,0001062993-21-003217
303,NATUZZI S P A,12.839002175101447,0.11751040357211584,0001564590-21-022246
245,"111, INC.",12.92732480541357,0.11437471855452262,0001104659-21-058014
261,SUPERCOM LTD,12.971835302226058,0.11282235076520003,0001178913-21-001531
72,NEOGAMES S.A.,12.973738694562494,0.11275637992047942,0001178913-21-001351
20,NANO-X IMAGING LTD.,13.094873634307286,0.10862673252287594,0001213900-21-020392
67,PURETECH HEALTH PLC,13.238205978019693,0.10391228021105704,0001628280-21-006938
282,"GLOBAL INTERNET OF PEOPLE, INC.",13.297618545756844,0.10201151697030127,0001213900-21-023882
355,AENZA S.A.A.,13.452708428906712,0.09719364262533661,0001193125-21-162643
378,PACIFIC BOOKER MINERALS INC.,13.4880661005661,0.09612385737308556,0001217160-21-000038
405,SIYATA MOBILE INC.,13.541543551422789,0.09452566383993799,0001213900-21-035102
200,VITRU LTD,13.579015924917876,0.09341988024197796,0000950103-21-006284
128,CEMEX SAB DE CV,13.591759500665479,0.0930464522188183,0001193125-21-129260
122,RLX TECHNOLOGY INC.,13.598338594558108,0.09285418296327126,0001104659-21-054146
385,BIRKS GROUP INC.,13.657386986415117,0.0911442809810463,0001193125-21-193376
230,SENDAS DISTRIBUTOR S.A.,13.666250231924035,0.09089005439686866,0001292814-21-001900
131,TOP SHIPS INC.,13.702281092293646,0.08986305820614278,0001437749-21-009726
6,TEEKAY LNG PARTNERS L.P.,13.73204582392819,0.08902247541612947,0001628280-21-006328
403,TAKEDA PHARMACEUTICAL CO LTD,13.763974001424899,0.08812859143052085,0001395064-21-000140
366,MEDIROM HEALTHCARE TECHNOLOGIES INC.,13.805593628399198,0.08697540091800567,0001558370-21-007318
279,ENLIVEX THERAPEUTICS LTD.,13.851840959743928,0.08570980278187844,0001213900-21-023865
0,STAR BULK CARRIERS CORP.,13.878631139022337,0.08498421614012287,0000919574-21-002709
174,RENESOLA LTD,14.021198710537213,0.08121455033032635,0001104659-21-056534
237,UNITED MICROELECTRONICS CORP,14.085683932613872,0.07955925287799942,0001564590-21-021578
40,TENCENT MUSIC ENTERTAINMENT GROUP,14.221206500627071,0.07617885429518338,0001193125-21-111096
215,CHINA LIFE INSURANCE CO LTD,14.296151814216547,0.07436548889694308,0001193125-21-138189
123,CHINA YUCHAI INTERNATIONAL LTD,14.310461636867034,0.07402370701250549,0001193125-21-128033
79,SUNLANDS TECHNOLOGY GROUP,14.401500266910643,0.07188228646513029,0001564590-21-019185
172,ANDINA BOTTLING CO INC,14.506395960716095,0.06948441932566703,0001104659-21-056483
255,BAOSHENG MEDIA GROUP HOLDINGS LTD,14.57222802902316,0.06801673721703862,0001104659-21-059086
15,LEGEND BIOTECH CORP,14.649127115229351,0.06633793133914895,0001564590-21-017439
288,BRAZILIAN DISTRIBUTION CO COMPANHIA BRASILEIRA DE DISTR CBD,14.652942757907681,0.0662556181208146,0001292814-21-001951
239,ADECOAGRO S.A.,14.707017320484814,0.06509901355469222,0001628280-21-007998
147,"BORQS TECHNOLOGIES, INC.",14.729731784795623,0.06461866434312584,0001213900-21-022875
267,LIXIANG EDUCATION HOLDING CO. LTD.,14.73459175496482,0.06451630828369474,0001193125-21-142767
206,BLUECITY HOLDINGS LTD,14.874799202848878,0.06162612026955132,0001104659-21-056838
51,GRUPO AVAL ACCIONES Y VALORES S.A.,14.876991244613315,0.0615818851377296,0001558370-21-004137
370,9F INC.,14.975754197818976,0.05961862236628023,0001104659-21-068349
205,36KR HOLDINGS INC.,14.987105099215897,0.059396678595520516,0001104659-21-056812
69,BEST INC.,14.987602774767137,0.059386964834656594,0001104659-21-051368
375,GROUP SIMEC SA DE CV,15.022102409998373,0.058717114496477395,0000891092-21-004699
220,PETROCHINA CO LTD,15.093497228877816,0.057352759270359925,0001193125-21-140226
299,CENTRAL NORTH AIRPORT GROUP,15.124642040871874,0.056766707167422555,0001558370-21-005352
103,UTSTARCOM HOLDINGS CORP.,15.131875675787166,0.05663137763028511,0001564590-21-019726
312,"NEWATER TECHNOLOGY, INC.",15.133332537028188,0.05660415784216965,0001213900-21-024061
179,MERCURITY FINTECH HOLDING INC.,15.146402770887896,0.05636049005837907,0001104659-21-056558
216,POSCO,15.151899326728785,0.05625830486087276,0001193125-21-138326
168,QUATERRA RESOURCES INC,15.318699128400622,0.05323686600566783,0001062993-21-003890
140,COOTEK(CAYMAN)INC.,15.346424731182795,0.05274930211098731,0001104659-21-054897
39,GENETRON HOLDINGS LTD,15.353511816224414,0.05262533237650347,0001193125-21-110975
97,GERDAU S.A.,15.516195836845935,0.04985211438881206,0001104659-21-053189
32,COCA COLA FEMSA SAB DE CV,15.527821273611636,0.04965917510217842,0001628280-21-006710
14,4D PHARMA PLC,15.583600294504548,0.048742966913032267,0001493152-21-007823
263,TRINITY BIOTECH PLC,15.631897259159253,0.04796225052317961,0001178913-21-001539
324,BRAZILIAN ELECTRIC POWER CO,15.656510324495558,0.04756882721804312,0001104659-21-063291
195,FANHUA INC.,15.708653789341744,0.04674515195616399,0001213900-21-023229
322,AIRNET TECHNOLOGY INC.,15.743889076262596,0.046196029373087054,0001104659-21-062391
289,AFYA LTD,15.74540596374356,0.046172523618584704,0001292814-21-001953
196,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO-SABESP,15.968822462425882,0.0428285384433557,0001292814-21-001795
316,INTEGRATED MEDIA TECHNOLOGY LTD,16.06942419926638,0.041397148979830274,0001668438-21-000022
109,ALUMINUM CORP OF CHINA LTD,16.139376464559824,0.04042809980777456,0001104659-21-053404
275,GENIUS SPORTS LTD,16.148962531721153,0.040296953930936685,0001193125-21-145204
186,CHINA EASTERN AIRLINES CORP LTD,16.16293246402225,0.04010653888925334,0001193125-21-135351
388,SONY GROUP CORP,16.178181711750373,0.03989963881617212,0001193125-21-195631
384,EHANG HOLDINGS LTD,16.192889464204665,0.03970102372219075,0001193125-21-190578
348,REPLICEL LIFE SCIENCES INC.,16.234014351195437,0.039150525036591347,0001062993-21-004761
111,"FUWEI FILMS (HOLDINGS), CO. LTD.",16.283914276535178,0.03849207620979087,0001104659-21-053887
148,"TDH HOLDINGS, INC.",16.433882274113884,0.03657457289610631,0001213900-21-022923
95,"LIGHTINTHEBOX HOLDING CO., LTD.",16.520895378775812,0.03550312411510695,0001104659-21-052843
367,CHINA FINANCE ONLINE CO. LTD,16.555860044797328,0.03508086815989407,0001564590-21-028187
223,PHARVARIS N.V.,16.588823666985878,0.03468706534090394,0001193125-21-140476
16,BROOGE ENERGY LTD,16.656764834480366,0.03388835818892661,0001213900-21-020027
91,"BETTERWARE DE MEXICO, S.A.B. DE C.V.",16.66065183466119,0.03384318562161843,0001213900-21-022186
189,"YOUDAO, INC.",16.738280256801424,0.03295270530972903,0001193125-21-135545
209,YIREN DIGITAL LTD.,16.763227565461225,0.032671206484925136,0001104659-21-057556
269,KOREA ELECTRIC POWER CORP,16.769607869067485,0.032599574055926984,0001193125-21-143287
319,HUDSON CAPITAL INC.,16.786676246458853,0.032408665304704834,0001493152-21-010516
404,MOGU INC.,16.89946149132799,0.03117317253594906,0001193125-21-203982
177,IHUMAN INC.,16.93101063392267,0.030835531392714974,0001104659-21-056545
226,WISEKEY INTERNATIONAL HOLDING S.A.,17.0360559635796,0.02973581408489028,0001193805-21-000568
228,"GUARDFORCE AI CO., LTD",17.070557122349822,0.02938270261856715,0001213900-21-023502
221,QUDIAN INC.,17.08318478914479,0.029254445454701856,0001193125-21-140342
73,TSAKOS ENERGY NAVIGATION LTD,17.083803200682997,0.029248177831741988,0001193125-21-118474
74,VIPSHOP HOLDINGS LTD,17.10581488680263,0.0290259056794932,0001193125-21-118506
119,PACIFIC AIRPORT GROUP,17.20241029899565,0.028069068723981384,0001564590-21-020157
139,TURKCELL ILETISIM HIZMETLERI A S,17.203853365950742,0.028055000956168877,0001047469-21-001028
130,UNITED BREWERIES CO INC,17.252724026874482,0.027582467897701038,0001292814-21-001707
393,NOMURA HOLDINGS INC,17.35004938737163,0.026663573284927914,0001193125-21-199397
394,JUST ENERGY GROUP INC.,17.37595097207474,0.026423909172393695,0001104659-21-085985
191,CHINA SOUTHERN AIRLINES CO LTD,17.402912947952107,0.026176582600392052,0001193125-21-136208
10,EVOGENE LTD.,17.447635139909874,0.025771126303293836,0001178913-21-001263
351,MOLECULAR DATA INC.,17.541087006398055,0.024942851840888968,0001104659-21-068100
301,FERROGLOBE PLC,17.57618123130521,0.0246383220014844,0001558370-21-005436
395,"SAWAI GROUP HOLDINGS CO., LTD.",17.587537144553128,0.02454053227247848,0001193125-21-201118
270,LOMA NEGRA COMPANIA INDUSTRIAL ARGENTINA SOCIEDAD ANONIMA,17.591278213271696,0.024508396645697424,0001193125-21-143966
161,CHINA ZENIX AUTO INTERNATIONAL LTD,17.606393743184366,0.02437895747931546,0001193125-21-133372
382,OPERA LTD,17.659406856388042,0.02393005425527033,0001437749-21-014514
12,CHECK POINT SOFTWARE TECHNOLOGIES LTD,17.79968327202343,0.0227794659062157,0001193125-21-104893
26,EVAXION BIOTECH A_S,17.85023834671688,0.022377727949597484,0001558370-21-004050
84,KENON HOLDINGS LTD.,18.10220140378708,0.02047318398848181,0001178913-21-001364
145,GSX TECHEDU INC.,18.124475538669913,0.02031239194001003,0001193125-21-130440
286,BANK BRADESCO,18.177501049303157,0.019934399890690086,0001292814-21-001938
363,TIZIANA LIFE SCIENCES PLC,18.340715654077723,0.018812222626871915,0001213900-21-027177
98,MEDICURE INC,18.35401577791417,0.018723460828048745,0001193125-21-123309
159,CANGO INC.,18.43408349556816,0.018197427466491185,0001193125-21-132899
293,INDUSTRIAL TECHNICAL HOLDINGS CORP,18.458268657353326,0.01804130633734512,0001477932-21-002802
50,BIOFRONTERA AG,18.48307370879347,0.017882501833584526,0001493152-21-008577
241,ARCOS DORADOS HOLDINGS INC.,18.49420867483525,0.01781164602491529,0001628280-21-008225
125,GRACELL BIOTECHNOLOGIES INC.,18.55370124057355,0.01743755812277053,0001193125-21-128979
153,AUDIOCODES LTD,18.641587149932498,0.016898532367242137,0001104659-21-055099
77,ARAUCO & CONSTITUTION PULP INC,18.730610038183087,0.01636866534119702,0001193125-21-118892
134,CORPBANCA_FI,18.783379287810106,0.01606206318284353,0001558370-21-004739
188,I-MAB,18.81393888683985,0.015887005209971657,0001193125-21-135440
346,BRASKEM SA,19.002675191525547,0.014845347246994258,0001292814-21-002286
194,CNFINANCE HOLDINGS LTD.,19.04388293193334,0.014626714864250856,0001213900-21-023191
372,KBRIDGE ENERGY CORP.,19.052702702702703,0.014580319972708687,0001393905-21-000260
377,AVRUPA MINERALS LTD.,19.179715316176512,0.013927518919528791,0001052918-21-000201
80,CHUNGHWA TELECOM CO LTD,19.25386531963767,0.013559372605226522,0000950123-21-004659
390,VODAFONE GROUP PUBLIC LTD CO,19.297365481725066,0.013347730788165807,0001104659-21-084539
218,SK TELECOM CO LTD,19.31862448479584,0.013245447128124829,0001193125-21-138579
202,GIGA METALS CORP,19.323632578714545,0.013221460511267448,0001062993-21-003933
347,37 CAPITAL INC,19.36366526164487,0.013031202964635455,0001607062-21-000121
297,JUPITER GOLD CORP,19.39563492063492,0.012881141537235017,0001520138-21-000235
352,GRUPO TMM SAB,19.480482161516644,0.012490823251684442,0001140361-21-017484
