,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,company,chi,p,sub_ids,cik_x,form,period,fy,filed,nine_digit_cik,ticker,cik_y,ticker_1,bucket
14,14,14,5355,5355,5355,525,"21VIANET GROUP, INC.",5.182999127803528,0.7378498831633264,0001104659-21-056551,1508475,20-F,20201231.0,2020.0,20210428,1508475,VNET US Equity,1508475.0,VNET,0
15,15,15,4302,4302,4302,3079,"22ND CENTURY GROUP, INC.",22.76269244338561,0.003682663605270225,0001558370-21-002771,1347858,10-K,20201231.0,2020.0,20210311,1347858,XXII US Equity,1347858.0,XXII,0
16,16,16,2756,2756,2756,1487,"2U, INC.",13.773627796391757,0.0878598973005616,0001459417-21-000003,1459417,10-K,20201231.0,2020.0,20210225,1459417,TWOU US Equity,1459417.0,TWOU,0
17,17,17,5474,5474,5474,418,"360 DIGITECH, INC.",8.600568994938989,0.3771027775016059,0001104659-21-052802,1741530,20-F,20201231.0,2020.0,20210421,1741530,QFIN US Equity,1741530.0,QFIN,0
18,18,18,5789,5789,5789,560,36KR HOLDINGS INC.,14.987105099215894,0.05939667859552052,0001104659-21-056812,1779476,20-F,20201231.0,2020.0,20210429,1779476,,,,0
19,19,19,5980,5980,5980,750,37 CAPITAL INC,19.363665261644872,0.013031202964635457,0001607062-21-000121,825171,20-F,20201231.0,2020.0,20210514,825171,,,,0
20,20,20,2256,2256,2256,623,"3D MAKERJET, INC.",11.633333333333333,0.16832860951880346,0001213900-21-009911,1458023,10-K,20200731.0,2020.0,20210217,1458023,,,,0
21,21,21,3714,3714,3714,2267,3D SYSTEMS CORP,18.539302949949718,0.017527405287811798,0000910638-21-000008,910638,10-K,20201231.0,2020.0,20210305,910638,DDD US Equity,910638.0,DDD,0
22,22,22,1903,1903,1903,156,3M CO,10.138325534659591,0.2554512371230053,0001558370-21-000737,66740,10-K,20201231.0,2020.0,20210204,66740,MMM US Equity,66740.0,MMM,0
23,23,23,1420,1420,1420,4213,4D MOLECULAR THERAPEUTICS INC.,8.04013548445883,0.4295594167175789,0001564590-21-015502,1650648,10-K,20201231.0,2020.0,20210325,1650648,FDMT US Equity,1650648.0,FDMT,0
24,24,24,5824,5824,5824,46,4D PHARMA PLC,15.583600294504548,0.04874296691303226,0001493152-21-007823,1830162,20-F,20201231.0,2020.0,20210402,1830162,,,,0
25,25,25,6112,6112,6112,88,4FRONT VENTURES CORP.,23.95819522090273,0.002329070065774022,0001564590-21-017873,1783875,10-K,20201231.0,2020.0,20210407,1783875,,,,0
26,26,26,6137,6137,6137,735,"4LESS GROUP, INC.",25.0966561140199,0.0014969949476773695,0001161697-21-000253,1438901,10-K,20210131.0,2020.0,20210514,1438901,,,,0
27,27,27,6029,6029,6029,458,"51JOB, INC.",20.64212654423388,0.008161359724367212,0001104659-21-054034,1295484,20-F,20201231.0,2020.0,20210423,1295484,JOBS US Equity,1295484.0,JOBS,0
28,28,28,3420,3420,3420,3070,5:01 ACQUISITION CORP.,16.881792717086835,0.03136377124947086,0001104659-21-037704,1823465,10-K,20201231.0,2020.0,20210317,1823465,FVAM US Equity,1823465.0,FVAM,0
29,29,29,4986,4986,4986,3733,7GC & CO. HOLDINGS INC.,32.61666666666667,7.219191643749668e-05,0001213900-21-018002,1826011,10-K,20201231.0,2020.0,20210326,1826011,,,,0
30,30,30,2329,2329,2329,3691,"89BIO, INC.",11.947208298524089,0.1535749075543402,0001564590-21-015214,1785173,10-K,20201231.0,2020.0,20210325,1785173,ETNB US Equity,1785173.0,ETNB,0
31,31,31,316,316,316,235,8I ENTERPRISES ACQUISITION CORP.,44.79342333293946,4.0270403265884397e-07,0001493152-20-017860,1753648,10-K,20200731.0,2020.0,20200915,1753648,,,,0
32,32,32,5941,5941,5941,752,8X8 INC _DE_,18.315867391525487,0.01897912171910405,0001023731-21-000091,1023731,10-K,20210331.0,2020.0,20210517,1023731,EGHT US Equity,1023731.0,EGHT,0
33,33,33,4576,4576,4576,3451,"9 METERS BIOPHARMA, INC.",25.69552964861591,0.0011839628681762527,0001551986-21-000033,1551986,10-K,20201231.0,2020.0,20210322,1551986,NMTR US Equity,1551986.0,NMTR,0
34,34,34,5788,5788,5788,780,9F INC.,14.975754197818976,0.059618622366280224,0001104659-21-068349,1619544,20-F,20201231.0,2020.0,20210518,1619544,JFU US Equity,1619544.0,JFU,0
35,35,35,66,66,66,226,"A-MARK PRECIOUS METALS, INC.",9.579162470394067,0.2958134338830316,0001564590-20-043316,1591588,10-K,20200630.0,2020.0,20200914,1591588,AMRK US Equity,1591588.0,AMRK,0
36,36,36,3134,3134,3134,2717,A. H. BELO CORP,15.440664392533465,0.05112253426526468,0001413898-21-000012,1413898,10-K,20201231.0,2020.0,20210311,1413898,,,,0
37,37,37,5073,5073,5073,2390,A. M. CASTLE & CO.,35.65212992789058,2.033084587810589e-05,0001558370-21-002392,18172,10-K,20201231.0,2020.0,20210304,18172,,,,0
38,38,38,3956,3956,3956,2397,"A10 NETWORKS, INC.",20.14981106314513,0.009783884600990807,0001580808-21-000043,1580808,10-K,20201231.0,2020.0,20210308,1580808,ATEN US Equity,1580808.0,ATEN,0
39,39,39,3042,3042,3042,1253,"AAON, INC.",14.963934532805867,0.05985053562713352,0000824142-21-000030,824142,10-K,20201231.0,2020.0,20210225,824142,AAON US Equity,824142.0,AAON,0
40,40,40,29,29,29,16,AAR CORP,7.4843542546538675,0.4853856231050012,0001104659-20-085310,1750,10-K,20200531.0,2020.0,20200721,1750,AIR US Equity,1750.0,AIR,0
41,41,41,2986,2986,2986,805,"AARON'S COMPANY, INC.",14.753728324174244,0.06411470267014377,0001821393-21-000009,1821393,10-K,20201231.0,2020.0,20210223,1821393,AAN US Equity,1821393.0,AAN,0
42,42,42,509,509,509,284,AB INTERNATIONAL GROUP CORP.,13.840866151392467,0.08600863996319041,0001663577-20-000454,1605331,10-K,20200831.0,2020.0,20201209,1605331,,,,0
43,43,43,1242,1242,1242,1363,ABB LTD,7.1841408203850685,0.5169020142957411,0001104659-21-028374,1091587,20-F,20201231.0,2020.0,20210226,1091587,,,,0
44,44,44,2653,2653,2653,789,ABBOTT LABORATORIES,13.320166547757358,0.10129821433447396,0001104659-21-025751,1800,10-K,20201231.0,2020.0,20210219,1800,ABT US Equity,1800.0,ABT,0
45,45,45,2826,2826,2826,563,ABBVIE INC.,14.088641612461796,0.0794840625448137,0001551152-21-000008,1551152,10-K,20201231.0,2020.0,20210219,1551152,ABBV US Equity,1551152.0,ABBV,0
46,46,46,5949,5949,5949,236,"ABCO ENERGY, INC.",18.455701451696875,0.01805781790625064,0001185185-21-000536,1300938,10-K,20201231.0,2020.0,20210415,1300938,,,,0
47,47,47,3031,3031,3031,3557,ABEONA THERAPEUTICS INC.,14.929327324722063,0.06053430122442052,0001493152-21-006705,318306,10-K,20201231.0,2020.0,20210324,318306,ABEO US Equity,318306.0,ABEO,0
48,48,48,1229,1229,1229,3776,ABERCROMBIE & FITCH CO _DE_,7.1455179892958665,0.5210169788468151,0001018840-21-000023,1018840,10-K,20210131.0,2020.0,20210329,1018840,ANF US Equity,1018840.0,ANF,0
49,49,49,4830,4830,4830,1749,ABERDEEN STANDARD GOLD ETF TRUST,29.25326233941853,0.0002862249054056258,0001387131-21-003000,1450923,10-K,20201231.0,2020.0,20210301,1450923,,,,0
50,50,50,4746,4746,4746,1746,ABERDEEN STANDARD PALLADIUM ETF TRUST,27.955628803245443,0.0004827593663797964,0001387131-21-002996,1459862,10-K,20201231.0,2020.0,20210301,1459862,,,,0
51,51,51,5154,5154,5154,1747,ABERDEEN STANDARD PLATINUM ETF TRUST,40.35238095238096,2.7540426786436542e-06,0001387131-21-002997,1460235,10-K,20201231.0,2020.0,20210301,1460235,,,,0
52,52,52,2775,2775,2775,1745,ABERDEEN STANDARD PRECIOUS METALS BASKET ETF TRUST,13.83550061050061,0.086155078780654,0001387131-21-002995,1483386,10-K,20201231.0,2020.0,20210301,1483386,,,,0
53,53,53,4134,4134,4134,1748,ABERDEEN STANDARD SILVER ETF TRUST,21.44584500466853,0.0060527986173754215,0001387131-21-002999,1450922,10-K,20201231.0,2020.0,20210301,1450922,SIVR US Equity,1450922.0,SIVR,0
54,54,54,5392,5392,5392,811,ABIOMED INC,6.3937204556417955,0.6032187561252675,0001564590-21-029314,815094,10-K,20210331.0,2020.0,20210521,815094,ABMD US Equity,815094.0,ABMD,0
55,55,55,610,610,610,330,ABM INDUSTRIES INC _DE_,19.622189668796814,0.011863959616864235,0000771497-20-000018,771497,10-K,20201031.0,2020.0,20201217,771497,ABM US Equity,771497.0,ABM,0
56,56,56,6107,6107,6107,706,ABRAXAS PETROLEUM CORP,23.604631774547144,0.002668808667659225,0001437749-21-011204,867665,10-K,20201231.0,2020.0,20210507,867665,,,,0
57,57,57,4782,4782,4782,3466,AC IMMUNE SA,28.48211010928151,0.00039074850475309013,0000950103-21-004378,1651625,20-F,20201231.0,2020.0,20210323,1651625,ACIU US Equity,1651625.0,ACIU,0
58,58,58,2954,2954,2954,1881,"ACACIA COMMUNICATIONS, INC.",14.614088334954165,0.06709815654950031,0001651235-21-000044,1651235,10-K,20201231.0,2020.0,20210301,1651235,,,,0
59,59,59,4950,4950,4950,4002,ACACIA RESEARCH CORP,31.505092592592593,0.0001141951941081356,0001683168-21-001082,934549,10-K,20201231.0,2020.0,20210329,934549,ACTG US Equity,934549.0,ACTG,0
60,60,60,6274,6274,6274,95,"ACADEMY SPORTS & OUTDOORS, INC.",41.92688721283073,1.3977070278805792e-06,0001817358-21-000059,1817358,10-K,20210131.0,2020.0,20210407,1817358,ASO US Equity,1817358.0,ASO,0
61,61,61,3362,3362,3362,1913,"ACADIA HEALTHCARE COMPANY, INC.",16.52893618070306,0.03540560132169853,0001564590-21-009466,1520697,10-K,20201231.0,2020.0,20210226,1520697,ACHC US Equity,1520697.0,ACHC,0
62,62,62,1505,1505,1505,1548,ACADIA PHARMACEUTICALS INC,8.432254139378886,0.3924240856651402,0001564590-21-008372,1070494,10-K,20201231.0,2020.0,20210225,1070494,ACAD US Equity,1070494.0,ACAD,0
63,63,63,2339,2339,2339,938,ACADIA REALTY TRUST,11.979878838670535,0.15210389999205493,0001564590-21-007196,899629,10-K,20201231.0,2020.0,20210222,899629,AKR US Equity,899629.0,AKR,0
64,64,64,5575,5575,5575,935,ACASTI PHARMA INC.,10.647962114138585,0.2224548096106125,0001171843-21-004462,1444192,10-K,20210331.0,2020.0,20210622,1444192,,,,0
65,65,65,3005,3005,3005,3057,"ACCEL ENTERTAINMENT, INC.",14.806849030948124,0.06301177696670915,0001698991-21-000005,1698991,10-K,20201231.0,2020.0,20210316,1698991,ACEL US Equity,1698991.0,ACEL,0
66,66,66,2614,2614,2614,2178,"ACCELERATE DIAGNOSTICS, INC",13.18590242044183,0.10561135602050804,0001628280-21-003678,727207,10-K,20201231.0,2020.0,20210302,727207,AXDX US Equity,727207.0,AXDX,0
67,67,67,1422,1422,1422,1109,ACCELERON PHARMA INC,8.040605839317692,0.4295137038667077,0001280600-21-000017,1280600,10-K,20201231.0,2020.0,20210225,1280600,XLRN US Equity,1280600.0,XLRN,0
68,68,68,724,724,724,54,ACCENTURE PLC,41.79195174009709,1.4815828790781625e-06,0001467373-20-000376,1467373,10-K,20200831.0,2020.0,20201022,1467373,ACN US Equity,1467373.0,ACN,0
69,69,69,1666,1666,1666,1296,ACCO BRANDS CORP,9.191803139991388,0.3263750804070785,0000712034-21-000015,712034,10-K,20201231.0,2020.0,20210226,712034,ACCO US Equity,712034.0,ACCO,0
70,70,70,6267,6267,6267,708,"ACCOLADE, INC.",40.05828402685788,3.1246154232026317e-06,0001558370-21-006527,1481646,10-K,20210228.0,2020.0,20210507,1481646,ACCD US Equity,1481646.0,ACCD,0
71,71,71,325,325,325,129,ACCURAY INC,55.330276159766996,3.808145403120021e-09,0001564590-20-041201,1138723,10-K,20200630.0,2020.0,20200825,1138723,ARAY US Equity,1138723.0,ARAY,0
72,72,72,3719,3719,3719,3067,ACE CONVERGENCE ACQUISITION CORP.,18.56904761904762,0.01734227537526748,0001104659-21-037245,1813658,10-K,20201231.0,2020.0,20210317,1813658,ACEV US Equity,1813658.0,ACEV,0
73,73,73,1702,1702,1702,3192,ACELRX PHARMACEUTICALS INC,9.319580503678553,0.3160579196434499,0001437749-21-006074,1427925,10-K,20201231.0,2020.0,20210315,1427925,ACRX US Equity,1427925.0,ACRX,0
74,74,74,3838,3838,3838,2113,ACER THERAPEUTICS INC.,19.279476079476076,0.013434384644963713,0001564590-21-009909,1069308,10-K,20201231.0,2020.0,20210301,1069308,,,,0
75,75,75,2582,2582,2582,3033,"ACHIEVE LIFE SCIENCES, INC.",13.097498604862391,0.1085387316372482,0001564590-21-012523,949858,10-K,20201231.0,2020.0,20210311,949858,,,,0
76,76,76,6234,6234,6234,819,ACHISON INC,33.43095238095238,5.149376232015031e-05,0001493152-21-012792,1672571,10-K,20210331.0,2020.0,20210525,1672571,,,,0
77,77,77,5063,5063,5063,1028,"ACI WORLDWIDE, INC.",35.05140632369696,2.616807956315419e-05,0000935036-21-000014,935036,10-K,20201231.0,2020.0,20210225,935036,ACIW US Equity,935036.0,ACIW,0
78,78,78,2049,2049,2049,4395,ACKRELL SPAC PARTNERS I CO.,10.779790460435624,0.21449146010691725,0001213900-21-019147,1790121,10-K,20201231.0,2020.0,20210331,1790121,ACKIU US Equity,1790121.0,ACKIU,0
79,79,79,2047,2047,2047,1501,"ACLARIS THERAPEUTICS, INC.",10.768211355199163,0.21518168445724506,0001558370-21-001717,1557746,10-K,20201231.0,2020.0,20210225,1557746,ACRS US Equity,1557746.0,ACRS,0
80,80,80,2229,2229,2229,2025,"ACM RESEARCH, INC.",11.535635789843399,0.17315597153651033,0001140361-21-006683,1680062,10-K,20201231.0,2020.0,20210301,1680062,ACMR US Equity,1680062.0,ACMR,0
81,81,81,3833,3833,3833,4529,ACME UNITED CORP,19.239639305242413,0.013629277184313341,0001564590-21-017128,2098,10-K,20201231.0,2020.0,20210331,2098,ACU US Equity,2098.0,ACU,0
82,82,82,937,937,937,2343,ACNB CORP,5.187851611795411,0.7373225984440834,0000715579-21-000012,715579,10-K,20201231.0,2020.0,20210305,715579,ACNB US Equity,715579.0,ACNB,0
83,83,83,2666,2666,2666,4517,ACON S2 ACQUISITION CORP.,13.378373015873015,0.09947717613397508,0001564590-21-017079,1819438,10-K,20201231.0,2020.0,20210331,1819438,STWO US Equity,1819438.0,STWO,0
84,84,84,3662,3662,3662,3017,ACORDA THERAPEUTICS INC,18.26575525090121,0.01931998179799354,0001564590-21-013318,1008848,10-K,20201231.0,2020.0,20210316,1008848,,,,0
85,85,85,3167,3167,3167,2993,"ACORN ENERGY, INC.",15.58870377772414,0.04865992022636553,0001493152-21-006048,880984,10-K,20201231.0,2020.0,20210316,880984,,,,0
86,86,86,3462,3462,3462,3982,ACQUIRED SALES CORP,17.113647463647467,0.028947195269060963,0001096906-21-000646,1391135,10-K,20201231.0,2020.0,20210331,1391135,,,,0
87,87,87,874,874,874,3764,"ACREAGE HOLDINGS, INC.",4.628939808773231,0.7963987715378932,0001762359-21-000018,1762359,10-K,20201231.0,2020.0,20210326,1762359,,,,0
88,88,88,1571,1571,1571,2919,ACRES COMMERCIAL REALTY CORP.,8.779382519675188,0.3612475879537162,0001564590-21-012662,1332551,10-K,20201231.0,2020.0,20210312,1332551,ACR US Equity,1332551.0,ACR,0
89,89,89,5618,5618,5618,53,"ACRO BIOMEDICAL CO., LTD.",11.616356771248071,0.16915929609344066,0001640334-21-000767,1622996,10-K,20201231.0,2020.0,20210402,1622996,ACBM US Equity,1622996.0,ACBM,0
90,90,90,2833,2833,2833,4422,"ACTINIUM PHARMACEUTICALS, INC.",14.11240932270344,0.07888215125263233,0001213900-21-019297,1388320,10-K,20201231.0,2020.0,20210331,1388320,ATNM US Equity,1388320.0,ATNM,0
91,91,91,2674,2674,2674,796,"ACTIVISION BLIZZARD, INC.",13.407688444864654,0.0985710203428717,0001628280-21-002828,718877,10-K,20201231.0,2020.0,20210223,718877,ATVI US Equity,718877.0,ATVI,0
92,92,92,582,582,582,63,ACUITY BRANDS INC,18.22141278296665,0.01962641714699115,0001144215-20-000125,1144215,10-K,20200831.0,2020.0,20201023,1144215,AYI US Equity,1144215.0,AYI,0
93,93,93,2205,2205,2205,4342,"ACURA PHARMACEUTICALS, INC",11.432512341637466,0.17837567393847495,0001104659-21-044760,786947,10-K,20201231.0,2020.0,20210331,786947,,,,0
94,94,94,2921,2921,2921,1701,ACUSHNET HOLDINGS CORP.,14.517316617665925,0.06923898401809607,0001672013-21-000013,1672013,10-K,20201231.0,2020.0,20210225,1672013,GOLF US Equity,1672013.0,GOLF,0
95,95,95,2409,2409,2409,3252,"ACUTUS MEDICAL, INC.",12.278130481655898,0.13921911676889998,0001564590-21-014208,1522860,10-K,20201231.0,2020.0,20210319,1522860,AFIB US Equity,1522860.0,AFIB,0
96,96,96,6079,6079,6079,518,ADAGENE INC.,22.586816427303273,0.003937273458052728,0001104659-21-055911,1818838,20-F,20201231.0,2020.0,20210428,1818838,ADAG US Equity,1818838.0,ADAG,0
97,97,97,3968,3968,3968,746,ADAMAS PHARMACEUTICALS INC,20.240861191348813,0.009462208725271613,0001328143-21-000019,1328143,10-K,20201231.0,2020.0,20210223,1328143,ADMS US Equity,1328143.0,ADMS,0
98,98,98,5621,5621,5621,267,ADAMIS PHARMACEUTICALS CORP,11.64917302212852,0.1675566246777796,0001387131-21-004529,887247,10-K,20201231.0,2020.0,20210415,887247,ADMP US Equity,887247.0,ADMP,0
99,99,99,2531,2531,2531,2260,"ADAMS RESOURCES & ENERGY, INC.",12.855290533195374,0.1169265499764638,0000002178-21-000034,2178,10-K,20201231.0,2020.0,20210305,2178,AE US Equity,2178.0,AE,0
100,100,100,2007,2007,2007,3323,ADAPTHEALTH CORP.,10.604246313934988,0.225146721989836,0001558370-21-003089,1725255,10-K,20201231.0,2020.0,20210316,1725255,AHCO US Equity,1725255.0,AHCO,0
101,101,101,1293,1293,1293,1512,ADAPTIMMUNE THERAPEUTICS PLC,7.410899605340186,0.4930163480510951,0001558370-21-001827,1621227,10-K,20201231.0,2020.0,20210225,1621227,ADAP US Equity,1621227.0,ADAP,0
102,102,102,2770,2770,2770,1196,ADAPTIVE BIOTECHNOLOGIES CORP,13.819475806451615,0.08659376174612485,0001564590-21-008124,1478320,10-K,20201231.0,2020.0,20210224,1478320,ADPT US Equity,1478320.0,ADPT,0
103,103,103,4605,4605,4605,3186,ADC THERAPEUTICS SA,26.07886148338564,0.0010181547045209276,0001771910-21-000010,1771910,20-F,20201231.0,2020.0,20210318,1771910,ADCT US Equity,1771910.0,ADCT,0
104,104,104,5587,5587,5587,994,ADDENTAX GROUP CORP.,10.872969626159284,0.20900133023486608,0001493152-21-015510,1650101,10-K,20210331.0,2020.0,20210629,1650101,,,,0
105,105,105,4083,4083,4083,2703,ADDEX THERAPEUTICS LTD.,21.00644805059584,0.007130320696825353,0001047469-21-000566,1574232,20-F,20201231.0,2020.0,20210311,1574232,,,,0
106,106,106,4098,4098,4098,1785,ADDUS HOMECARE CORP,21.122130005662612,0.006829981591515351,0001564590-21-009604,1468328,10-K,20201231.0,2020.0,20210301,1468328,ADUS US Equity,1468328.0,ADUS,0
107,107,107,436,436,436,342,ADDVANTAGE TECHNOLOGIES GROUP INC,10.28095464228443,0.2458577145117356,0001628280-20-017632,874292,10-K,20200930.0,2020.0,20201217,874292,,,,0
108,108,108,5776,5776,5776,596,ADECOAGRO S.A.,14.707017320484814,0.06509901355469222,0001628280-21-007998,1499505,20-F,20201231.0,2020.0,20210429,1499505,AGRO US Equity,1499505.0,AGRO,0
109,109,109,5334,5334,5334,85,"ADHERA THERAPEUTICS, INC.",4.571844466238058,0.8022030006949872,0001493152-21-008190,737207,10-K,20201231.0,2020.0,20210407,737207,,,,0
110,110,110,2608,2608,2608,3291,"ADIAL PHARMACEUTICALS, INC.",13.174986241149032,0.1059690343120013,0001213900-21-017009,1513525,10-K,20201231.0,2020.0,20210322,1513525,,,,0
111,111,111,3126,3126,3126,2917,"ADICET BIO, INC.",15.400685844075998,0.05180693620138917,0001564590-21-012664,1720580,10-K,20201231.0,2020.0,20210312,1720580,ACET US Equity,1720580.0,ACET,0
112,112,112,402,402,402,251,ADIENT PLC,8.443708479335012,0.39136938285869854,0001670541-20-000080,1670541,10-K,20200930.0,2020.0,20201130,1670541,ADNT US Equity,1670541.0,ADNT,0
113,113,113,5563,5563,5563,330,ADIT EDTECH ACQUISITION CORP.,10.526190476190477,0.23001711212608825,0001564590-21-019034,1830029,10-K,20201231.0,2020.0,20210415,1830029,ADEX US Equity,1830029.0,ADEX,0
114,114,114,2505,2505,2505,3655,"ADITX THERAPEUTICS, INC.",12.762643522628045,0.12028144382635644,0001213900-21-017776,1726711,10-K,20201231.0,2020.0,20210325,1726711,,,,0
115,115,115,2431,2431,2431,3562,"ADM ENDEAVORS, INC.",12.398226049313006,0.1343007651422601,0001493152-21-006734,1588014,10-K,20201231.0,2020.0,20210324,1588014,,,,0
116,116,116,1625,1625,1625,3639,"ADMA BIOLOGICS, INC.",9.013160485321748,0.3411869690742704,0001193805-21-000411,1368514,10-K,20201231.0,2020.0,20210325,1368514,ADMA US Equity,1368514.0,ADMA,0
117,117,117,224,224,224,259,ADMIRAL FINANCIAL CORP,18.666666666666664,0.016747634975694668,0001553350-20-000885,828530,10-K,20200630.0,2020.0,20200922,828530,,,,0
118,118,118,3223,3223,3223,37,ADOBE INC.,15.885927078395861,0.04404225375655672,0000796343-21-000004,796343,10-K,20201130.0,2020.0,20210115,796343,ADBE US Equity,796343.0,ADBE,0
119,119,119,4968,4968,4968,4524,"ADOMANI, INC.",32.1878259751944,8.619534692056761e-05,0001564590-21-017115,1563568,10-K,20201231.0,2020.0,20210331,1563568,,,,0
120,120,120,3816,3816,3816,168,ADORBS INC.,19.15714285714286,0.014041464302150242,0001213900-21-007950,1726822,10-K,20201231.0,2020.0,20210210,1726822,,,,0
121,121,121,3666,3666,3666,1705,ADT INC.,18.27820473460968,0.01923476461176931,0001703056-21-000020,1703056,10-K,20201231.0,2020.0,20210225,1703056,ADT US Equity,1703056.0,ADT,0
122,122,122,80,80,80,100,ADTALEM GLOBAL EDUCATION INC.,10.23004361783974,0.2492497340865084,0001558370-20-010728,730464,10-K,20200630.0,2020.0,20200818,730464,ATGE US Equity,730464.0,ATGE,0
123,123,123,4905,4905,4905,1873,ADTRAN INC,30.4236990846845,0.00017785038091830117,0001564590-21-009423,926282,10-K,20201231.0,2020.0,20210226,926282,ADTN US Equity,926282.0,ADTN,0
124,124,124,1061,1061,1061,631,ADVANCE AUTO PARTS INC,6.1001989396038345,0.6360090650230148,0001158449-21-000036,1158449,10-K,20201231.0,2020.0,20210222,1158449,AAP US Equity,1158449.0,AAP,0
125,125,125,4010,4010,4010,66,ADVANCED BIOMEDICAL TECHNOLOGIES INC.,20.505938457254246,0.008582349434995024,0001493152-21-002055,1385799,10-K,20201031.0,2020.0,20210129,1385799,,,,0
126,126,126,5834,5834,5834,387,"ADVANCED CONTAINER TECHNOLOGIES, INC.",15.763305384124546,0.04589598531728613,0001721868-21-000228,1096950,10-K,20201231.0,2020.0,20210416,1096950,,,,0
127,127,127,6176,6176,6176,840,"ADVANCED DRAINAGE SYSTEMS, INC.",27.00904767429298,0.0007044477271072383,0001564590-21-030419,1604028,10-K,20210331.0,2020.0,20210527,1604028,WMS US Equity,1604028.0,WMS,0
128,128,128,1347,1347,1347,2517,"ADVANCED EMISSIONS SOLUTIONS, INC.",7.617516558570451,0.4716946586405465,0001515156-21-000010,1515156,10-K,20201231.0,2020.0,20210310,1515156,ADES US Equity,1515156.0,ADES,0
129,129,129,3065,3065,3065,916,ADVANCED ENERGY INDUSTRIES INC,15.06511184353735,0.05789169782246655,0001558370-21-001513,927003,10-K,20201231.0,2020.0,20210224,927003,AEIS US Equity,927003.0,AEIS,0
130,130,130,2561,2561,2561,91,ADVANCED MICRO DEVICES INC,12.980053360182021,0.1125377576143335,0001628280-21-001185,2488,10-K,20201231.0,2020.0,20210129,2488,AMD US Equity,2488.0,AMD,0
131,131,131,304,304,304,109,ADVANCED OXYGEN TECHNOLOGIES INC,36.35137085137085,1.5140932250163842e-05,0001731122-20-000902,352991,10-K,20200630.0,2020.0,20200820,352991,,,,0
132,132,132,3564,3564,3564,4120,"ADVANCED VOICE RECOGNITION SYSTEMS, INC",17.652240271805493,0.023990281314406496,0001376474-21-000115,1342936,10-K,20201231.0,2020.0,20210331,1342936,,,,0
